TargetID	Gene_symbol
T86679	ADORA2B
T83813	HTR2C
T32060	HTR2A
T31204	HTR2B
T51408	ADRB3
T77365	ADORA2A
T58921	PPARG
T27944	NPY4R
T28893	CHRM1
T36557	PPARD
T78709	HTR1A
T07806	HTR1B
T51426	NR1H4
T60182	GCGR
T02551	DRD3
T97413	BRS3
T37693	CNR2
T36075	GLP1R
T67684	CHRM3
T87166	GCK
T59604	GHSR
T72458	MC4R
T93788	GPR119
T67162	DRD2
T86273	GPBAR1
T76685	CNR1
T18876	PTGER4
T47094	TACR1
T25608	FFAR1
T96079	CXCR4
T89034	PLG
T52921	OPRL1
T88185	HCAR2
T36059	ADORA3
T99524	TAAR1
T90782	P2RY6
T59679	HTR4
T68782	PTGDR
T79591	THRA
T98933	THRB
T30687	NR3C1
T97917	FPR2
T16336	GPR32
T03818	PPARG
T28330	CCKAR
T86591	PPARA
T51385	FFAR4
T06182	VIPR2
T86364	VIPR1
T92072	ADORA1
T67818	P2RY1
T16555	P2RY14
T93515	P2RY2
T82083	P2RY4
T97613	MTNR1A
T23499	EDNRA
T11072	HTR1D
T77913	HRH1
T55956	GRM6
T22285	GRIN2A
T76414	GRIN2B
T56588	GRIN2D
T62276	GRIN1
T72595	GRIN2C
T26500	HRH4
T00890	HCAR3
T76198	TBXA2R
T75797	PTGFR
T85467	PTGER3
T27137	GRM1
T99347	GRM5
T95302	MC5R
T35842	MC1R
T76846	MC3R
T75643	NOD2
T64765	HRH3
T30985	HRH2
T01777	ADRA2C
T76678	ITPR2
T61227	ITPR1
T78205	TRPM2
T92689	P2RY11
T02719	GRM3
T92640	LPAR1
T95923	LPAR3
T39380	LPAR2
T18616	LPAR5
T72267	GPR18
T82702	NR1I2
T13852	S1PR1
T42724	KCNN4
T22118	DRD1
T62820	GRM2
T77548	GRM8
T85115	PROKR1
T28213	FFAR2
T80513	FFAR3
T99954	PTGIR
T38529	PTGER2
T29683	TACR3
T52790	TACR2
T99816	GRPR
T60693	OPRK1
T16633	SSTR1
T62974	SSTR4
T53024	SSTR2
T64830	SSTR5
T13644	SSTR3
T14731	SIRT1
T09826	TOP1
T02728	NTSR1
T95605	NTSR2
T71192	CYSLTR1
T74238	CYSLTR2
T87670	GPR55
T47768	OPRM1
T58992	OPRD1
T55654	CFTR
T68876	GRIK3
T51115	CACNA1C
T23714	BDKRB2
T39123	KISS1R
T46828	DRD5
T59875	ESRRG
T86271	KCNN2
T61722	PTGDR2
T72168	NR3C2
T62306	MLNR
T17523	S1PR4
T74456	AGTR1
T84117	HTR1E
T78656	HTR1F
T15571	HTR5A
T79062	HTR7
T16691	HTR6
T13714	NR1H2
T52297	NR1H3
T05849	CCKBR
T80896	ESR2
T60362	TAAR5
T99402	GRM4
T61243	GRM7
T69091	P2RX1
T15497	PTGER1
T73482	HCRTR1
T69485	HCRTR2
T22939	PGR
T92185	ADCYAP1R1
T87023	PTAFR
T56143	GPR35
T31227	GPR3
T56272	HCAR1
T34234	VDR
T72032	GPRC6A
T57943	CASP3
T65783	APLNR
T13484	LPAR6
T00488	P2RY10
T26073	GPR87
T58130	LPAR4
T33902	GPR17
T24983	DRD4
T98091	GPR84
T25705	FPR3
T28309	MCOLN1
T13726	RXRA
T17721	KCNJ6
T38012	KCNJ3
T53186	KCNJ9
T10383	PLD2
T74570	KCNJ2
T78692	KCNJ5
T49072	UTS2R
T29678	SCN2A
T39716	SCN5A
T87831	FPR1
T73859	GPR34
T67894	TLR3
T50089	S1PR5
T11241	S1PR3
T62841	F2RL1
T70539	MCHR2
T09572	MCHR1
T21038	NOD1
T89534	ESR1
T77796	TRHR
T41580	ADRA2B
T49526	KCNQ1
T94085	RARA
T20575	CCR8
T59577	GPR183
T43206	RORA
T69506	NR1I3
T46937	P2RY12
T68834	OXER1
T63465	GPR132
T04210	NMUR2
T96235	GRIA4
T33584	GRIA1
T42392	GRIA2
T61657	RARB
T35664	P2RY13
T88531	GPR39
T83382	NMUR1
T79961	CHRM5
T45674	TMEM97
T82146	RARG
T63393	OXGR1
T56923	CXCR2
T72841	ESRRA
T46521	AR
T09909	AGTR2
T91894	MAS1
T84439	GPR139
T47888	S1PR2
T30219	C3AR1
T24793	CACNA1D
T66237	AVPR2
T79232	AVPR1A
T84486	OXTR
T59881	AVPR1B
T30563	LTB4R2
T80858	GPR31
T90818	NPFFR2
T79780	NPFFR1
T92828	EDNRB
T25307	RORC
T62391	GRIA3
T08133	TRPV6
T29500	ADRA1B
T11211	AR
T62912	POMC
T11448	ADRA2A
T53381	ADRA1D
T92609	ADRA1A
T46185	CHRM2
T20709	CHRM4
T62193	DDC
T52522	ADRB2
T00895	PRKCE
T78581	GALR1
T20331	NPY5R
T44068	ADRB1
T23666	AHR
T00254	NR1D1
T12108	CRY1
T16156	MPL
T40016	NR3C1
T02333	GHR
T73724	CHRNB4
T61622	REN
T46482	TLR7
T48703	TLR8
T67710	PTH1R
T65236	GPER1
T44919	GCG
T59626	LTB4R
T03346	IL4R
T12475	GNRHR
T15556	SERPINE1
T21689	APOE
T65197	EPOR
T88505	NFE2L2
T88714	ADORA1
T92144	TEK
T17758	PLAU
T07173	NTRK1
T28692	LPL
T18950	GNRH1
T08922	ACACB
T92076	CASR
T59328	EGFR
T73476	SERPINC1
T37046	BLVRA
T42822	FECH
T49493	HBA1
T38161	ANXA1
T60077	RXRB
T46456	RXRG
T48268	MTNR1B
T44861	PRKCD
