DrugID	smi
D07OAC	C1=NC(=C2C(=N1)N(N=C2Br)C3C(C(C(O3)CN)O)O)N
D06MBI	CCN1C2=C(C=CC(=C2)OC)SC1=CC(=O)C
D03KKR	C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3
D0F5NJ	CC(CC1=CC2=C(C=C1)OCO2)NC
D0E2VC	CC1=C2CCNC(=O)C2=CC=C1
D0Y7VM	CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O
D00WHO	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC=C3Cl)C
D00OWF	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
D0T5PO	COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3
D0R2QS	C1=C(C(C(C1N2C=NC3=C(N=CN=C32)N)O)O)CO
D0VF6E	CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C
D0B9BU	C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
D0B4VE	C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3
D0E3TC	CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC
D0S8RD	CC(C(C1=CC=CC=C1)O)N(C)CC=C2C3=CC=CC=C3CCC4=CC=CC=C42
D0XK0T	CC(C)(C)NC(=O)C(CN1CCN(CC1)C2=CC=CC=C2OC)C3=CC=CC=C3
D02IBM	C1CC2C(C(C1O2)CC=CCCCC(=O)O)CNNC(=O)NC3=CC=CC=C3
D00PWQ	C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br
D0I8ZZ	COC1=C(C=C(C=C1)S(=O)(=O)N2C(C(C3=C2C=CC(=C3)Cl)(C4=CC=CC=C4Cl)O)C(=O)N5CCCC5C(=O)N)OC
D00BRD	C1=CC(=CC=C1C=O)O
D0B5YS	COC1=C(C=CC(=C1)C=O)O
D03SLR	COC1=C(C=CC(=C1)C=CC(=O)O)O
D0O4QB	COC1=C(C=CC(=C1)CC=C)O
D04JZE	C1=CC=C(C=C1)C2=C(C(=O)NC(=S)N2)CC3=C(C=CC4=CC=CC=C43)O
D0W4IL	C1CC2C3C(C1O2)C(=O)OC3=O
D0W2OT	CCCC1(CCC1)C(CC=CC2C(CC(=O)C2CCCCCCC(=O)OC)O)O
D03TFJ	C1=CC=C2C(=C1)NC=N2
D02NRD	CC1(C(=NC2=C(N=CN=C2O1)N)C3=CC=C(C=C3)C4CCC(CC4)CC(=O)O)C
D0K4BI	CC1=NN(C2=C1C(=CC(=N2)NNC(=O)NC3=CC(=NC(=C3)Cl)Cl)C(C)C)C
D0C0JT	CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2
D05XMY	CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O
D06ZWG	CC1=CC=C(C=C1)NC(=O)NCCCCN2CCN(CC2)C3=CSC4=C3C=CC(=C4)C(F)(F)F
D05QMG	C1CN(NC2=C(C(=NN21)C3=CC=C(C=C3)F)C4=CC=NC=C4)C(=O)C(=O)C5=CC=CC=C5.OS(=O)(=O)O
D0N0PU	CC(C)N(C(C)C)C(=O)C1=CC(=C(C=C1)OCCCCCOC2=CC=C(C=C2)C(=N)N)OC.C(=CC(=O)O)C(=O)O
D0MM2K	C1C(C(C2=C(O1)C=C(C=C2)C3=C(C=CC(=C3)C(F)(F)F)C(=O)O)O)CC4=CC=CC=C4
D0T9HG	CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC
D0NV9O	CC(C(C)OC1=NC(=NC=C1C(F)(F)F)NC2=CC=C(C=C2)S(=N)(=O)C3CC3)O
D05CDF	CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
D0NJ1A	CCOC(=O)C1C(O1)C(=O)NC(CC(C)C)C(=O)NCCC(C)C
D0JP4H	CNC(=NC)NCC1=CC=CC=C1
D06QRW	C1=CC(=NC=C1Cl)C(=O)NCCN
D0I5DP	CC1CC=CC(C2CCC2CN3CC4(CCCC5=C4C=CC(=C5)Cl)COC6=C3C=C(C=C6)C(=O)NS(=O)(=O)C1C)OC
D05GZD	COCCN1CCC(CC1)N(CC2=CC=C(C=C2)C3=CC=C(C=C3)C(F)(F)F)C(=O)CN4C5=CC=CC=C5C(=O)C=C4SCC6=C(C(=CC=C6)F)F
D07DTV	C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl
D0H2UB	CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C
D0F5JZ	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F
D05CBJ	CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N
D0T0ZW	C1CC1CN2CCC34CC(=O)CCC3(C2CC5=C4C(=C(C=C5)C(=O)N)O)O
D0RL4X	CN(C)C1=C(C(=NC(=N1)CC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)C(F)(F)F)N(C)C)CC(=O)O
D0EJ7U	C1C(CC(=C(F)F)C1N)C(=O)O
D00SUK	CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34CCC(CC3)(CC4)CCC(=O)O
D0TL7L	CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)C1=CC(=C(C=C1)Cl)Cl
D0LF1U	CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O
D0M5VV	CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)NC(C(C)O)C(=O)O)O.[Lu+3]
D0VB4X	CCS(=O)(=O)C1=CN=C(C=C1)CNC(=O)C2=CC3=C(C(N(C3)CC4CCC(CC4)C(F)(F)F)C(C)C)N=C2
D03SHD	C1(C(C(C(C(C1O)O)O)O)O)O
D9YG4P	CCCCCCCCCC(=CC1=C(C(=O)C(=C(C1=O)OC)OC)C)C(=O)O
DB6XD8	CC1CCCC(C2=NC=CC(=C2)C3=C(C=NN3C(F)F)NC1=O)N4C=NC(=CC4=O)C5=C(C=CC(=C5)Cl)N6C=C(N=N6)Cl
DNM79H	CC1=CC(=C(C(=O)N1)CNC(=O)C2=CC(=C3C(=C2C)OC(O3)(C)C4CCC(CC4)N(C)C)Cl)C
D4USX5	CN1C=C(C2=CC3=C(C=C21)OCO3)C4=C(C(=O)NC4=O)C5=COC6=C5C=C(C=C6)F
D05BLN	COCCNCC1=CN=C(C=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F
D0Z9LP	C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O
D0JU5X	CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
D07PQJ	COCCNCCC1=CC(=CC=C1)NC2=NC=C3CC(C4=CC=CC=C4C3=N2)C5=CC=CC=C5F
D00LNW	C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
D0FT4R	CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)O
D06FKC	C1CN(CCN1)C2=C3C(=CC=C2)OCCO3
D0U3EP	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
D0P9BT	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)([O-])OC3CC(OC3COP(=S)([O-])OC4CC(OC4COP(=S)([O-])OC5CC(OC5COP(=S)([O-])OC6CC(OC6COP(=S)([O-])OC7CC(OC7COP(=S)([O-])OC8CC(OC8COP(=S)([O-])OC9CC(OC9COP(=S)([O-])OC1CC(OC1CO)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)OP(=S)([O-])OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)([O-])OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=S)([O-])OCC1C(CC(O1)N1C=CC(=NC1=O)N)OP(=S)([O-])OCC1C(CC(O1)N1C=NC2=C(N=CN=C21)N)O
DUTJ12	C=CC(=O)N1CCC(CC1)C2=NC(=C(C=C2)C(=O)N)C3=CC=C(C=C3)OC4=CC=CC=C4
D0G2IC	CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
D0C7AA	C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O
D63WMQ	CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C(C(C)C)N)OC)OC
D0U2CV	CCN(CC)C1=CC(=NC2=NC=NN12)C
D0O8GK	CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC
D06NSS	C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O
D0V4TY	C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
D0Q5XX	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
D0W6KM	C1CC(C2=CC=CC=C2C1C3=CC(=C(C=C3)Cl)Cl)N
D0N8TQ	C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3
D06LQH	CCCN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
D00MFW	C1=CC2=C(C=C(C(=C2N=C1)O)N=NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O
D05MJU	C1=CC2=C(C=C(S2)C(=[NH2+])N)C(=C1)I
D0Q2EH	CC1C(C(C(C(O1)OC2C(C(C(OC2C3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)COC(=O)CC(C)(CC(=O)O)O)O)O)O)O)O
D0N7HS	CCN1C2=C(C=CC(=N2)C)C(=C(C1=O)CCC(=O)O)C3=CC(=CC=C3)Cl
D0Q6ZQ	C1CC1C2C3=C(C4=CC(=C(C=C4N2S(=O)(=O)C5=CC=C(C=C5)C(F)(F)F)F)F)NN=C3
D03QJA	CN1CCN(CC1)C2=CC=CC3=NC(=C(N32)CO)CN(C)C4CCCC5=C4N=CC=C5
D07UBK	C1=CC=C(C=C1)C(CO)NC(=O)NC2=CC=C(C=C2)C3=CC=NC=C3
D0M1OU	CCCCCN1C2=CC=CC=C2C3(C1=O)COC4=CC5=C(C=C34)OCO5
D0Q5MC	COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO
D03QXD	C1=CC(=CC(=C1)Cl)C2=CC=C(C=C2)C3=NOC(=C3)CC(CP(=O)(C4=CC=C(C=C4)Br)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)O
D0NS9C	CS(=O)(=O)C1=C(C=CC(=C1)C(=O)N=C(N)N)N2CCN(CC2)C(=O)C3=CC=CO3.CS(=O)(=O)O
D0P0DA	C1CC2(CC3(O2)C=CC(=O)C=C3)OC1=O
D00YNY	C1=CC(=CC=C1C2=CSC(=N2)NC3=CC=C(C=C3)O)Cl
D0D0TQ	C1=CC2=C(C=CN2)C=C1NC3=NC(=CN=C3N)C4=CC=NC=C4
D0AH2V	CCOC(=O)C1=C(C(=O)C2=C(C=C(C=C2O1)O)O)C3=CC(=CC=C3)Br
D0P7HI	CCCCCCCCCCCCCCOC1=CC=C(O1)C(=O)O
D0EK9K	CCC1CN(C(CN1C2CCN(CC2)C(=O)C3=CC=C(C=C3)Cl)C)C4=NC=C(N=C4C)C5=NN=C(O5)NCC
D0AC0A	CC1=C2CCC(CC(C2=CC=C1)O)CN3CCC(CC3)C4=C(C=CC=C4Cl)Cl
D0VY5O	CCCN1CCC(CC1)C2=NC3=C(C=CC=C3N2)C(=O)N
D0BV3B	CCOC(=O)NC1CCC2C(C1)CC3C(C2C=CC4=NC=C(C=C4)C5=CC=CC=N5)C(OC3=O)C
D0D2UA	C1=CC=C(C=C1)CCNC(=O)C(CC(=O)O)NS(=O)(=O)C2=CC3=CC=CC=C3C=C2
D0V4EX	CCN1C(CC(CC1(C)C)OC2=CN=C(C=C2)C(=O)NC3=CC=C(C=C3)NC(=O)NC4=NOC(=C4)C(C)(C)C)(C)C
D01XHU	CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)COC(=O)CCCC(=O)NCCCCC(C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)N6CCCC6C(=O)NCC(=O)N)NC(=O)C(CC7=CC=C(C=C7)O)NC(=O)C(CO)NC(=O)C(CC8=CNC9=CC=CC=C98)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)O)N1CCC=C1)O
D02AQM	CN(CC#C)CC1=C2C=CC=NC2=C(C=C1)O
D0Y5BR	CC(C)NC(=O)C1(CC1C(C2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)C
D0D6ZB	CCC1=C2C(=CC(=C1)OC)N=C(OC2=O)C3=C(N=CC=C3)N4CCC(C4)N(C)C
D02XNT	C1=CC(=CC=C1C2=NN(C(=O)O2)CC3=C(C=CC(=C3)Cl)O)C(F)(F)F
D0H5TU	CC(C1=CC=C(C=C1)C(=O)O)NC(=O)C2=C(C=CC(=C2)Cl)OC3=CC=C(C=C3)F
D0V6VQ	CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)N4CCCC4
D0K8PH	CN(C)CCOC1=CN(C2=C1C=C(C=C2)Br)S(=O)(=O)C3=CC=C(C=C3)F
D02WGD	C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CNC6=C5C=C(C=C6)Br
D0X5ZH	C(C1C(C(C(O1)C2=C(C(=NN2)C(=O)N)O)O)O)O
D01QYQ	CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCC(=O)NC4=CC=C(C=C4)C#N
D0T3KZ	C1=CC=C(C(=C1)C(=O)O)OC(=O)C2=CC=CS2
D09PTP	COC1=C(C=CC2=C1CCC(CC2)N3CCOCC3)NC4=NC=C(C(=N4)NC5C6CC(C5C(=O)N)C=C6)Cl
D0V5LJ	CN1C2=C(C=C(C=C2)Cl)N(C1=O)C3CCN(CC3)CCCN4C5=C(CN(CC5)S(=O)(=O)C)C(=N4)C6=CC=C(C=C6)C(F)(F)F
D0LP7W	CC1=C(SC2=NC=NN12)C(C)OC(=O)NC3=CC=CC=C3
D01UPT	CC#CCN(C)CC1=CC2=C(N1C)C=CC(=C2)O
D03EDD	CC12CCC(=O)C=C1CCC3C2CCC4(C3CC=C4N5C=NC=N5)C
D06EHW	COC(=O)N1CC2(CC2)CC(C1C(=O)N3CCC(=CC3)C4=CC=CC=C4)C(=O)NO
D0M3AR	CCCOC1=C(C=C(C=C1)Br)C2=C(NC(=C2)C3=CC=C(C=C3)Cl)C4=CC=NC=C4
D0T5AH	CC(C)C1=CN=C(S1)NC(=O)C(C)C2=CC=C(C=C2)NC(=O)C
D0F4MI	CCC1=CC=C(C=C1)C(CC)(CC)NC(=O)C2=C3NC(CC(N3N=C2C)(C)C)C4=CC=CC=C4.CC1=CC=C(C=C1)S(=O)(=O)O
D05MEY	CCN1CCN(CC1)C(=O)NC2=C(C=C3C(=C2)C(=NC=N3)NC4=CC=CC(=C4)C#C)OC
