DrugID	TargetID
D07OAC	T71390
D07OAC	T70309
D06MBI	T73725
D06MBI	T46685
D03KKR	T51282
D0F5NJ	T48873
D0E2VC	T06273
D0Y7VM	T97655
D00WHO	T51452
D00WHO	T08910
D00WHO	T62292
D00WHO	T26368
D00WHO	T51487
D00WHO	T80387
D00OWF	T83875
D0T5PO	T10265
D0T5PO	T02001
D0T5PO	T07663
D0T5PO	T61744
D0R2QS	T68698
D0VF6E	T85943
D0B9BU	T06031
D0B9BU	T76508
D0B4VE	T65200
D07OAC	T91661
D0E3TC	T78429
D0S8RD	T20401
D0XK0T	T78709
D02IBM	T76198
D00PWQ	T49898
D00PWQ	T70977
D00PWQ	T98459
D00PWQ	T20973
D0I8ZZ	T79232
D00BRD	T59045
D0B5YS	T59045
D0B5YS	T13259
D03SLR	T16987
D03SLR	T20401
D03SLR	T64567
D0F5NJ	T55959
D0B4VE	T83011
D0O4QB	T46521
D04JZE	T14731
D0B9BU	T64682
D0B9BU	T58970
D0B9BU	T94479
D0B9BU	T51282
D0B9BU	T40097
D0B9BU	T12808
D0B9BU	T55729
D0B9BU	T65864
D0B9BU	T12499
D0B9BU	T62449
D0B9BU	T79798
D0B9BU	T70977
D0B9BU	T67619
D0W4IL	T59845
D0W4IL	T57291
D0W2OT	T75797
D0W2OT	T15497
D0W2OT	T18876
D0W2OT	T85467
D0W2OT	T38529
D03TFJ	T92803
D03SLR	T83011
D00PWQ	T76910
D02NRD	T16688
D00BRD	T83011
D0B5YS	T83011
D0O4QB	T83011
D00OWF	T39486
D06MBI	T92803
D00OWF	T92803
D00OWF	T97149
D0K4BI	T47888
D0C0JT	T66665
D0C0JT	T67801
D05XMY	T12808
D06ZWG	T02551
D05QMG	T40332
D05QMG	T65864
D0N0PU	T59626
D0MM2K	T59626
D0T9HG	T52450
D0T9HG	T65019
D0T9HG	T08856
D0T9HG	T68251
D0T9HG	T86702
D0T9HG	T54156
D0T9HG	T03500
D0T9HG	T34296
D0NV9O	T70176
D0NV9O	T44458
D0NV9O	T85799
D0NV9O	T49898
D05CDF	T31406
D0NJ1A	T04902
D0NJ1A	T86385
D0JP4H	T44068
D06QRW	T83011
D0I5DP	T14912
D05GZD	T69912
D07DTV	T70176
D0H2UB	T68334
D0F5JZ	T90648
D0F5JZ	T80975
D05GZD	T30081
D0H2UB	T47623
D05CBJ	T05031
D05CBJ	T67849
D05CBJ	T80276
D0T0ZW	T47768
D0RL4X	T61722
D0EJ7U	T59045
D00SUK	T92072
D00SUK	T86679
D00SUK	T77365
D00SUK	T36059
D0TL7L	T05849
D0TL7L	T28330
D0LF1U	T95399
D0M5VV	T62974
D0VB4X	T25307
D0LF1U	T44458
D03SHD	T87024
D9YG4P	T13348
DB6XD8	T15803
DNM79H	T17986
DNM79H	T25265
D4USX5	T70977
D05BLN	T40474
D05BLN	T07303
D05BLN	T80975
D05BLN	T60631
D0Z9LP	T30081
D0JU5X	T03818
D07PQJ	T47101
D00LNW	T51407
D0FT4R	T40332
D06FKC	T83813
D0U3EP	T14731
D0P9BT	T26203
DUTJ12	T25005
D0G2IC	T99204
D0G2IC	T66665
D0G2IC	T93105
D0C7AA	T65864
D63WMQ	T48873
D0U2CV	T91331
D0O8GK	T59328
D06NSS	T18477
D0V4TY	T30803
D0Q5XX	T66665
D0W6KM	T55959
D0N8TQ	T85943
D06LQH	T67162
D00MFW	T13057
D05MJU	T94033
D0Q2EH	T53585
D0N7HS	T02001
D0N7HS	T61744
D0N7HS	T10265
D0Q6ZQ	T87024
D03QJA	T96079
D07UBK	T51282
D0M1OU	T12119
D0Q5MC	T28887
D03QXD	T03500
D0NS9C	T82028
D0P0DA	T31479
D00YNY	T86014
D0D0TQ	T74312
D0AH2V	T59328
D0P7HI	T08922
D0EK9K	T25315
D0AC0A	T52921
D0VY5O	T06273
D0BV3B	T36483
D0D2UA	T28330
D0V4EX	T98913
D01XHU	T12475
D02AQM	T83011
D0Y5BR	T40097
D0D6ZB	T40332
D02XNT	T89988
D0H5TU	T18876
D0V6VQ	T23172
D0K8PH	T16691
D02WGD	T95913
D0X5ZH	T40694
D01QYQ	T86679
D0T3KZ	T66665
D09PTP	T56418
D0V5LJ	T68290
D0LP7W	T99347
D01UPT	T83875
D03EDD	T89041
D06EHW	T31902
D0M3AR	T60182
D0T5AH	T70176
D0F4MI	T92076
D05MEY	T59328
D0Q4EQ	T80975
D00EIL	T62431
D05QMQ	T40694
D0DH1H	T28713
D0EU1R	T20891
D0W4WP	T44282
D08LIU	T15700
D0D7EK	T09572
D09KEB	T62431
D0TD2F	T61622
D03FIE	T95913
D09DGE	T67619
D0T4QX	T99347
D09DDQ	T64765
D0W5IF	T11211
D02MXT	T18876
D09ENZ	T87686
D0CI9W	T64765
D04KFR	T58589
D0E5VP	T61744
D0E5VP	T10265
D0E5VP	T02001
D0F3FC	T64682
D07JKA	T87024
D09PNV	T28330
D0A7XQ	T08391
D00TBD	T40474
D03TTT	T99089
D0T4SJ	T70176
D02CCA	T29683
D0C0ZC	T99089
D0G0BJ	T97155
D0CR9I	T51565
D0PP5M	T81850
D0NJ3Q	T59328
D0HK3U	T61722
D0J9PK	T75243
D0YD9E	T38529
D0R6OM	T91331
D0R6OM	T58454
D0R6OM	T94479
D0R6OM	T47101
D05TKO	T31391
D0V7PX	T31309
D0V6DF	T69619
D0Y6MD	T59328
D0L1BS	T52921
D01BUT	T12475
D06TQD	T09960
D00JIV	T95913
D09VHS	T75243
D07DNV	T87024
D08GBT	T07303
D0D3CJ	T02703
D0O3SA	T86679
D0J3EA	T59328
D0OE2Z	T76198
D0U4SS	T61744
D0U4SS	T02001
D0U4SS	T10265
D0H3JH	T25005
D0Y4WR	T31204
D0C5GF	T32060
D0C5GF	T78709
D0C5GF	T11072
D0D2GL	T55956
D0D2GL	T99402
D0D2GL	T61243
D0D2GL	T77548
D0L0VU	T36059
D0L0VU	T86679
D0L0VU	T92072
D0A6IO	T86679
D0A6IO	T92072
D04UCF	T36059
D02SKN	T36059
D02SKN	T92072
D02SKN	T86679
D0XC9U	T92072
D0XC9U	T86679
D0XC9U	T36059
D0G6SL	T92072
D09TBE	T86679
D09TBE	T92072
D07VCN	T86679
D07VCN	T92072
D00CVD	T36059
D0L3BI	T86679
D0L3BI	T92072
D0V3ZG	T30563
D0H2LN	T31989
D02QUS	T87023
D0U5NA	T05849
D0Y8KY	T05849
D0T0CG	T78543
D03TBA	T15439
D00EFA	T04210
D0M5ZE	T59679
D01KMI	T59679
D0M8CJ	T89988
D00VYD	T89988
D0P2HX	T10265
D0P2HX	T02001
D0P2HX	T61744
D0P2HX	T12081
D09WWY	T72168
D0UN9O	T57700
D0I9AL	T67684
D03URI	T18876
D03VMX	T25608
D0D6MH	T55414
D02ZML	T05849
D00AWM	T09572
D03LIP	T42048
D03LIP	T40556
D03LIP	T86399
D0R2TW	T15497
D09ZKY	T40694
D0V5OS	T51408
D09FFE	T20669
D06AYN	T74238
D0W8XI	T67684
D07LDP	T67684
D04RHI	T92072
D04RHI	T86679
D09NEP	T36059
D09NEP	T86679
D0B8DR	T36059
D0B8DR	T92072
D0B8DR	T86679
D0C8FY	T36059
D04GFX	T86679
D04GFX	T92072
D08TSA	T36059
D0I8GD	T36059
D0J1BA	T36059
D0J1BA	T86679
D0J1BA	T92072
D06ZLJ	T36059
D0O2AV	T36059
D01DPF	T36059
D0ZL2A	T86679
D0ZL2A	T92072
D0ZL2A	T36059
D01CQU	T86679
D08MPL	T35664
D08FOV	T67818
D00PRR	T67818
D0D5NP	T67818
D03ERS	T67818
D0V4FT	T90782
D03YRN	T90782
D0V7WT	T35664
D08BXO	T67818
D0I2VE	T36483
D02FMN	T82577
D0B3UN	T03500
D04YWX	T97613
D0R5JD	T97613
D0M1BF	T49072
D0B7OW	T86679
D0B7OW	T92072
D0B7OW	T36059
D09OTM	T22128
D09OTM	T26900
D09RKA	T51191
D09RKA	T63816
D09RKA	T22274
D0N8EL	T59679
D04AZE	T83813
D04AZE	T31204
D0KH5R	T32060
D0KH5R	T31204
D0KH5R	T83813
D03YVB	T30495
D03YVB	T81830
D03YVB	T11317
D08XLL	T60182
D00EHP	T74607
D05FYR	T01908
D0Z3NC	T80896
D0PI1C	T19433
D0R2UG	T95913
D0K7CX	T77350
D0T1PA	T25315
D0X3PD	T36059
D0X3PD	T86679
D0O2TC	T67063
D0WU1S	T40556
D0WU1S	T86399
D0WU1S	T42048
D07RSH	T86679
D07RSH	T92072
D0I1EP	T36059
D0I1EP	T86679
D0I1EP	T92072
D06ZIO	T63024
D0T3YY	T40556
D09HBR	T40556
D0F0XZ	T97589
D0S8HE	T61243
D0W3XD	T29683
D0S9CI	T29683
D0K0TY	T74456
D00KDF	T62449
D0DY5G	T83813
D0DY5G	T32060
D0DY5G	T31204
D05NWH	T31204
D05NWH	T32060
D05NWH	T83813
D00EMF	T83813
D00EMF	T32060
D00EMF	T31204
D0QM3E	T07806
D0QM3E	T11072
D0QM3E	T78709
D0R3GW	T78709
D0R3GW	T11072
D0R3GW	T07806
D03XMD	T15571
D03DET	T07806
D03DET	T11072
D03DET	T78709
D0V9XE	T07806
D0S8NM	T30219
D0UZ4J	T73482
D0UZ4J	T69485
D02JFD	T16691
D0J3PJ	T73482
D0J3PJ	T69485
D0KP3K	T73482
D0C5RQ	T09572
D05WON	T49072
D0OA8M	T15497
D0Z6UK	T28330
D0J3JI	T03634
D0J3JI	T98275
D0W2UK	T82393
D07ORL	T37961
D07ORL	T07766
D05SXF	T70977
D03IVG	T41580
D0B4SF	T77913
D0C0HP	T12475
D0N9DU	T04831
D00ZYK	T31935
D0W2SV	T31543
D04DTE	T97537
D0W1HM	T02551
D0W1HM	T67162
D0W1HM	T24983
D0G1IF	T47768
D05ANN	T47768
D05ANN	T58992
D05ANN	T60693
D0F5SO	T31721
D0A8PV	T25315
D09FHE	T13491
D0L6TQ	T16739
D0Y2ZC	T55398
D07JAN	T29683
D07JAN	T52790
D07JAN	T47094
D02VHD	T07663
D02VHD	T81637
D02VHD	T77613
D02VHD	T20578
D02VHD	T92439
D08XVZ	T58970
D0V8AC	T53389
D0S9SJ	T87686
D03XXT	T98275
D03XXT	T03634
D03EJP	T20958
D00NRJ	T67684
D05SLY	T86014
D0LR8X	T46828
D0LR8X	T22118
D07GEL	T35824
D07GEL	T73475
D07GEL	T34296
D07GEL	T82393
D07GEL	T54156
D0P9DD	T76497
D02XYV	T60366
D01RUN	T61744
D01RUN	T10265
