TargetID	Gene_symbol
T71390	SRD5A2
T70309	SRD5A1
T73725	CLK2
T46685	CLK1
T51282	ROCK1
T48873	SLC18A2
T06273	PARP1
T97655	ADCY2
T51452	GABRA2
T08910	GABRG2
T62292	GABRA3
T26368	GABRA5
T51487	GABRA1
T80387	GABRB2
T83875	MAOA
T10265	PDE4B
T02001	PDE4D
T07663	PDE5A
T61744	PDE4A
T68698	AHCY
T85943	SRC
T06031	MAP3K1
T76508	MAP3K2
T65200	HSD11B1
T91661	ADK
T78429	IKBKB
T20401	CA2
T78709	HTR1A
T76198	TBXA2R
T49898	CDK1
T70977	GSK3B
T98459	CCNB1
T20973	CDK5
T79232	AVPR1A
T59045	ABAT
T13259	ALDH5A1
T16987	CA12
T64567	CA9
T55959	SLC6A3
T83011	MAOB
T46521	AR
T14731	SIRT1
T64682	SGK1
T58970	MAPK1
T94479	RPS6KB1
T40097	MAPK8
T12808	PRKCA
T55729	MAPK11
T65864	MAPK14
T12499	LCK
T62449	CHEK1
T79798	MAPK12
T67619	AKT1
T59845	PPP1CA
T57291	PPP2R5A
T75797	PTGFR
T15497	PTGER1
T18876	PTGER4
T85467	PTGER3
T38529	PTGER2
T92803	DYRK1A
T76910	GSK3A
T16688	DGAT1
T39486	DYRK2
T97149	DYRK3
T47888	S1PR2
T66665	PTGS2
T67801	LTF
T02551	DRD3
T40332	ELANE
T59626	LTB4R
T52450	MMP1
T65019	MMP14
T08856	MMP8
T68251	MMP2
T86702	MMP3
T54156	MMP9
T03500	MMP12
T34296	MMP13
T70176	CDK2
T44458	CDK9
T85799	CDK4
T31406	HCK
T04902	CAPN2
T86385	CTSG
T44068	ADRB1
T14912	MCL1
T69912	PLA2G7
T68334	FSHR
T90648	BRAF
T80975	KDR
T30081	TK1
T47623	HPSE
T05031	PIK3CB
T67849	PIK3CD
T80276	PIK3CA
T47768	OPRM1
T61722	PTGDR2
T92072	ADORA1
T86679	ADORA2B
T77365	ADORA2A
T36059	ADORA3
T05849	CCKBR
T28330	CCKAR
T95399	PYGM
T62974	SSTR4
T25307	RORC
T87024	APP
T13348	APEX1
T15803	F11
T17986	EZH1
T25265	EZH2
T40474	MET
T07303	FLT4
T60631	RET
T03818	PPARG
T47101	FGFR1
T51407	XPO1
T83813	HTR2C
T26203	ICAM1
T25005	BTK
T99204	PSEN2
T93105	PSEN1
T91331	FGFR3
T59328	EGFR
T18477	HSP90AA1
T30803	GSR
T67162	DRD2
T13057	PTPN11
T94033	F2
T53585	HMGCR
T96079	CXCR4
T12119	SCN9A
T28887	HDAC8
T82028	SLC9A1
T31479	PLA2G1B
T86014	SPHK1
T74312	FLT3
T08922	ACACB
T25315	CXCR3
T52921	OPRL1
T36483	F2R
T98913	CSF3R
T12475	GNRHR
T89988	CCR2
T23172	JAK3
T16691	HTR6
T95913	PIK3CG
T40694	PLK1
T56418	ALK
T68290	CTSS
T99347	GRM5
T89041	CYP17A1
T31902	ADAM10
T60182	GCGR
T92076	CASR
T62431	SYK
T28713	CHEK2
T20891	PDPK1
T44282	ALDH2
T15700	CASP8
T09572	MCHR1
T61622	REN
T64765	HRH3
T11211	AR
T87686	DOT1L
T58589	BDKRB1
T08391	JAK2
T99089	BRAF
T29683	TACR3
T97155	ATR
T51565	CSNK2A1
T81850	FDFT1
T75243	MTOR
T58454	FGFR2
T31391	DPP4
T31309	BCL2
T69619	AOC3
T09960	CCR5
T02703	NOS2
T31204	HTR2B
T32060	HTR2A
T11072	HTR1D
T55956	GRM6
T99402	GRM4
T61243	GRM7
T77548	GRM8
T30563	LTB4R2
T31989	SPHK2
T87023	PTAFR
T78543	PRKG1
T15439	C5AR1
T04210	NMUR2
T59679	HTR4
T12081	PDE4C
T72168	NR3C2
T57700	KIT
T67684	CHRM3
T25608	FFAR1
T55414	CSF1R
T42048	BRD3
T40556	BRD4
T86399	BRD2
T51408	ADRB3
T20669	PRKACA
T74238	CYSLTR2
T35664	P2RY13
T67818	P2RY1
T90782	P2RY6
T82577	ACE
T97613	MTNR1A
T49072	UTS2R
T22128	GAD2
T26900	GAD1
T51191	HDAC2
T63816	HDAC4
T22274	HDAC6
T30495	SIK2
T81830	SIK3
T11317	SIK1
T74607	RAPGEF4
T01908	KLK2
T80896	ESR2
T19433	HPGDS
T77350	PSMB8
T67063	KCNMB4
T63024	TBK1
T97589	MAP3K5
T74456	AGTR1
T07806	HTR1B
T15571	HTR5A
T30219	C3AR1
T73482	HCRTR1
T69485	HCRTR2
T03634	CREBBP
T98275	KAT6B
T82393	ADAM17
T37961	PAK1
T07766	PAK2
T41580	ADRA2B
T77913	HRH1
T04831	EIF2AK2
T31935	SLC36A1
T31543	ST14
T97537	LNPEP
T24983	DRD4
T58992	OPRD1
T60693	OPRK1
T31721	SLC1A1
T13491	SLC29A1
T16739	KDM1A
T55398	IRAK4
T52790	TACR2
T47094	TACR1
T81637	PDE1A
T77613	PDE1B
T20578	PDE7B
T92439	PDE1C
T53389	TGFBR1
T20958	NPSR1
T46828	DRD5
T22118	DRD1
T35824	MMP16
T73475	MMP7
T76497	PGD
T60366	ODC1
T46937	P2RY12
T30985	HRH2
T56057	KDM6B
T32880	EGLN1
T73863	KDM4C
T25362	KDM3A
T69091	P2RX1
T63846	IRAK1
T14630	PIP5K1A
T53892	PMVK
T86528	FDPS
T68547	HDAC1
T92689	P2RY11
T08741	CSK
T68163	LYN
T04361	MAP3K7
T07191	MAP4K2
T35809	BRD1
T41145	BRPF1
T27466	BRPF3
T13852	S1PR1
T19531	ADCY5
T81658	MMP15
T45674	TMEM97
T01777	ADRA2C
T29500	ADRA1B
T02728	NTSR1
T52297	NR1H3
T13714	NR1H2
T16633	SSTR1
T92463	RIPK2
T09826	TOP1
T00140	ALOX5
T86052	TERT
T59929	TYMP
T78932	TYK2
T62460	JAK1
T08123	LRRK2
T20331	NPY5R
T23714	BDKRB2
T59604	GHSR
T26500	HRH4
T51076	NTRK3
T10670	NPY2R
T00663	MAPK10
T06037	MAPK9
T84486	OXTR
T82262	CAMKK2
T38134	CAMKK1
T56923	CXCR2
T64553	ZAP70
T92640	LPAR1
T99912	KYNU
T17758	PLAU
T55922	AMD1
T84581	TXNRD1
T37271	ST3GAL5
T18664	MGLL
T21585	CLK3
T26073	GPR87
T39380	LPAR2
T95923	LPAR3
T59102	PDGFRB
T98134	NUCB1
T19693	GUCY2D
T81900	IDE
T40243	CERK
T13644	SSTR3
T76414	GRIN2B
T22285	GRIN2A
T34234	VDR
T18784	KDM7A
T72595	GRIN2C
T56588	GRIN2D
T12581	ITPR3
T76678	ITPR2
T61227	ITPR1
T81735	PRKDC
T99816	GRPR
T41195	HMGCS1
T44479	GJA1
T77393	WDR5
T87831	FPR1
T79062	HTR7
T83320	SLC12A7
T00488	P2RY10
T86428	FNTB
T68782	PTGDR
T98642	PBK
T13726	RXRA
T46245	QPCT
T56871	KDM5B
T28052	KDM5A
T30163	SLC1A6
T58449	CDK7
T07930	HDAC5
T98698	HDAC7
T03687	HDAC9
T72841	ESRRA
T46700	MAP3K8
T04497	PROKR2
T96862	MVD
T03453	MVK
T82383	AXL
T94880	TYRO3
T55781	MERTK
T12091	ACVR1
T36959	ACVRL1
T60213	BMPR2
T56051	UCHL1
T50594	PIM1
T20542	DYRK4
T60077	RXRB
T46456	RXRG
T62820	GRM2
T09909	AGTR2
T23499	EDNRA
T53524	PDGFRA
T68706	FURIN
T33211	PCSK7
T21307	MAPKAPK2
T85115	PROKR1
T89697	IDO1
T50773	DPP7
T05090	HDAC3
T82665	PRMT5
T96788	ERBB2
T92057	ERBB4
T23984	BRD7
T16902	KAT2B
T69200	SMARCA4
T00973	PBRM1
T53251	EHMT2
T39996	EHMT1
T44341	CDKL2
T12126	MAP3K11
T81623	DAPK3
T58924	SRPK2
T19760	MAP3K9
T89323	MAP3K10
T02719	GRM3
T77400	PDE2A
T03661	ADA
T99524	TAAR1
T40000	KLK1
T37154	CTSA
T49989	TGFBR2
T76685	CNR1
T94621	AKT2
T12541	PI4KB
T89772	SLC18A3
T20575	CCR8
T72171	CCR5
T01280	BACE2
T66383	CFD
T85915	TPH2
T76213	PAH
T78915	TPH1
T89565	CASP5
T98269	CASP1
T57943	CASP3
T72252	CASP7
T53469	CASP4
T62306	MLNR
T40276	PRKCB
T59493	SLC1A5
T71192	CYSLTR1
T89747	ABL1
T11241	S1PR3
T65236	GPER1
T62841	F2RL1
T08499	NLRP3
T72458	MC4R
T37371	PASK
T82083	P2RY4
T16555	P2RY14
T64977	IGF1R
T12241	CTH
T55005	NUAK2
T21653	NUAK1
T74977	TTK
T84703	NTRK2
T47107	PRKCG
T49368	PRKCD
T74258	PRKCZ
T89534	ESR1
T97917	FPR2
T79780	NPFFR1
T90818	NPFFR2
T03529	RGS8
T93580	RGS4
T90985	BRDT
T70851	MAPK7
T71374	PLK4
T63298	DCLK2
T75596	METAP2
T59881	AVPR1B
T66237	AVPR2
T90828	IL5RA
T61746	CTSB
T83202	RPS6KA1
T85435	INSR
T16514	FASN
T98198	MYLK2
T13176	EIF2AK3
T95682	BAZ2A
T15745	BAZ2B
T85250	GSK3A
T97592	AURKC
T49102	NEK2
T65783	APLNR
T98225	CLK4
T82146	RARG
T06093	ROCK2
T97141	MYLK
T68766	DMPK
T00075	CDC42BPA
T70840	LIMK1
T60003	PKN1
T16808	PRMT1
T57307	SLK
T94085	RARA
T92828	EDNRB
T79824	STK36
T99954	PTGIR
T85228	CCR3
T87670	GPR55
T10756	RCE1
T66011	CFB
T83369	F9
T42447	DCLK1
T70633	SUCNR1
T90961	BMP2K
T77061	DCLK3
T77139	MAP3K3
T84117	HTR1E
T58307	PPME1
T40488	MMP10
T77236	CTSF
T71266	AKT3
T77764	AURKB
T17552	STK33
T76723	PRMT3
T57006	EPHA7
T02446	EPHB1
T73756	EPHB2
T70234	EPHA4
T56121	EPHB3
T28413	EPHA3
T18474	EPHA5
T49507	EPHB4
T58266	EPHA8
T28418	EPHA1
T57278	EPHA2
T82720	DYRK1B
T93653	CTSV
T62276	GRIN1
T73180	MMP11
T35283	MAP3K6
T39677	CEL
T01255	STK32B
T08198	OXSR1
T81358	CDC7
T27577	CDK18
T09185	DDR1
T32973	LGMN
T63682	TAOK3
T16993	FER
T47657	LTK
T29083	FES
T69128	ROS1
T33584	GRIA1
T42392	GRIA2
T83904	SIRT2
T61657	RARB
T27137	GRM1
T26623	AKR1B1
T94201	SRPK1
T47594	ACVR1B
T09133	LIMK2
T92144	TEK
T03279	RPS6KA3
T46000	MAP4K3
T80782	FLT1
T45287	DNPEP
T63851	CDKL1
T66396	EIF2AK4
T07087	PTK2B
T65116	NT5E
T79961	CHRM5
T13075	CSNK1A1
T87109	CSNK1D
T82773	CSNK1G2
T07279	PIM2
T29728	CSNK1G3
T16596	PIM3
T16188	ULK3
T11487	ACAT1
T36581	MAPKAPK3
T29754	MAPKAPK5
T67272	ANPEP
T87981	IRAK3
T79307	ULK1
T98539	TIE1
T62390	TH
T10735	HDC
T85309	CBS
T72849	ERAP1
T65818	ERAP2
T90553	MARK3
T12837	CARM1
T97016	TAOK1
T15610	NPEPPS
T22939	PGR
T93515	P2RY2
T57421	APEH
T86161	PREP
T73694	PTK6
T53952	HIPK2
T40103	CTSH
T11388	CTSK
T44387	MUSK
T11011	CRHR2
T70539	MCHR2
T97196	ATM
T69612	GRK5
T53350	BMP1
T17980	FYN
T49925	FGR
T74307	BLK
T16891	CTSE
T96235	GRIA4
T62391	GRIA3
T84780	BIRC2
T81892	XIAP
T35173	BIRC3
T66505	SMO
T72732	EPHB6
T08647	EPHA6
T36935	KLK3
T08298	GZMB
T71367	MAP4K4
T99340	RIPK1
T20953	BUB1
T39698	NEK7
T30829	NEK6
T13616	ILK
T68876	GRIK3
T99802	PDE11A
T32590	TXK
T50224	RPS6KA5
T83009	ABL2
T77997	ADAM10
T95878	RPS6KA6
T28043	RPS6KA2
T06064	SLC25A1
T15514	HNF4A
T17143	MAP2K5
T02439	EIF2AK1
T37417	STK38L
T04303	STK16
T76024	C1S
T27889	ACE2
T80526	CSNK2A2
T78656	HTR1F
T68461	SLC25A4
T53468	WNK3
T69208	PHKG2
T04413	TSSK2
T98022	CPB2
T67102	CTSD
T63220	TNK2
T23785	TESK2
T49542	TESK1
T15068	PTK2
T43031	NEK1
T95736	MAP3K14
T01575	SGPL1
T15848	TEC
T99990	BMX
T23606	PRKG2
T94197	PKN2
T41702	CSNK1G1
T41141	CTSL
T28213	FFAR2
T01003	ERN1
T56108	TRIM24
T18390	LATS2
T03581	STK38
T20371	PRCP
T24836	PROC
T89213	NPY1R
T62193	DDC
T20053	BRSK1
T10375	BRSK2
T89361	CDK6
T49031	PSMB5
T70490	CTSC
T68834	OXER1
T39519	SUV39H1
T93262	PRKCE
T15882	PRTN3
T72534	TNIK
T53612	KLK6
T58130	LPAR4
T47081	PPIA
T31621	FGF2
T03691	LTA4H
T51671	NPY
T64137	CRH
T61698	IL2
T05387	TGM2
T66350	RAB9A
T73471	HPN
T10965	SELP
T26617	LCT
T12627	ACO2
T62265	DHPS
T62073	OAT
T13260	CYP19A1
T33489	STS
T73724	CHRNB4
T20709	CHRM4
T28893	CHRM1
T46185	CHRM2
T94324	HDAC10
T22977	SOD1
T89529	PTPN1
T16117	NOS1
T06046	NOS3
T15851	UMPS
T54229	ANG
T75517	GMPS
T72835	SELE
T45299	PLAT
T98062	PYGM
T40787	MTAP
T24587	MGMT
T76012	IMPA2
T52389	NQO1
T37510	F5
T49493	HBA1
T76369	CES1
T60744	HCRT
T25847	PPIB
T53489	MT-CYB
